No,filename,data_split,Links,main_label,sub_label,Healthy Lifestyle and Weight Loss,Weight Lifting,Running,Yoga,Haircare,Makeup,Skincare,Outfit,Accommodation,Adventure,Culture,Food and drink,duration,frame_count,height,width,fps
113,Travel_113.mp4,train,https://www.tiktok.com/@reviewpairueipuei/video/7221949115746290971?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,12.1,363,1024,576,30
114,Travel_114.mp4,train,https://www.tiktok.com/@sann.u/video/7207354562099809563?q=%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702564801551,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,20.2,606,1024,576,30
115,Travel_115.mp4,train,https://www.tiktok.com/@sarapommm/video/7296339219809570053?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,16.96666667,509,1024,576,30
116,Travel_116.mp4,train,https://www.tiktok.com/@sasivimon_w/video/7307959330450541830,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,19.63333333,589,1024,576,30
117,Travel_117.mp4,train,https://www.tiktok.com/@sdoubleen/video/7220289659643890971?q=Vlogs%20%E0%B9%84%E0%B8%9B%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547477389,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,29.56666667,887,1024,576,30
118,Travel_118.mp4,train,https://www.tiktok.com/@shalixiam/video/7270791715416575237?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,16,480,960,540,30
119,Travel_119.mp4,train,https://www.tiktok.com/@shareprotiew/video/7231537669006773509?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,80.96666667,2429,1024,576,30
120,Travel_120.mp4,train,https://www.tiktok.com/@shareprotiew/video/7283489634208861446?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,111.5,3345,1024,576,30
121,Travel_121.mp4,train,https://www.tiktok.com/@smmuk_/video/7313651372174494982,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,98.73333333,2962,1024,576,30
122,Travel_122.mp4,train,https://www.tiktok.com/@sneakoutclub/video/7183537320518257947?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,56.83333333,1705,1026,576,30
123,Travel_123.mp4,train,https://www.tiktok.com/@sneakoutclub/video/7230276182913125637?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,67.6,2028,1026,576,30
124,Travel_124.mp4,train,https://www.tiktok.com/@sneakoutclub/video/7308699197732130054,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,54.56666667,1637,1024,576,30
125,Travel_125.mp4,train,https://www.tiktok.com/@storiesfan/video/7215812150831369499?q=%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547368566,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,34.46666667,1034,1024,576,30
126,Travel_126.mp4,train,https://www.tiktok.com/@storiesfan/video/7291081316005612805?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,46.33333333,1390,1024,576,30
127,Travel_127.mp4,train,https://www.tiktok.com/@sunny_rung/video/7166097470848535834?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,16.1,483,1024,576,30
128,Travel_128.mp4,train,https://www.tiktok.com/@sun.wind_rain/video/7214106398299294978?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,600,18000,1024,576,30
129,Travel_129.mp4,train,https://www.tiktok.com/@sun.wind_rain/video/7311721573256334594,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,126.8333333,3805,1024,576,30
130,Travel_130.mp4,train,https://www.tiktok.com/@naynae_21/video/7257396002095680774?q=%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702564801551,Travel,"Adventure, Accommodation, Food and drink",0,0,0,0,0,0,0,0,1,1,0,1,38.86666667,1166,864,576,30
131,Travel_131.mp4,train,https://www.tiktok.com/@pampampp/video/7314664294635900165,Travel,"Adventure, Accommodation, Food and drink",0,0,0,0,0,0,0,0,1,1,0,1,90,2700,1024,576,30
132,Travel_132.mp4,train,https://www.tiktok.com/@previewii/video/7191845634842889499?lang=en&q=%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547745846,Travel,"Adventure, Accommodation, Food and drink",0,0,0,0,0,0,0,0,1,1,0,1,129.4666667,3884,1024,576,30
133,Travel_133.mp4,train,https://www.tiktok.com/@klaopaitaew/video/7242736273885072646?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Adventure, Culture, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,38.6,1158,1024,576,30
134,Travel_134.mp4,train,https://www.tiktok.com/@traveloka.th/video/7190388977327721755?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Adventure, Culture, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,80.66666667,2420,1024,576,30
135,Travel_135.mp4,train,https://www.tiktok.com/@mdp.mundeepa/video/7308764037930683654,Travel,"Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,0,1,32.8,984,1024,576,30
136,Travel_136.mp4,train,https://www.tiktok.com/@peemwong/video/7220326295639444763?q=%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702564801551,Travel,"Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,0,1,99.06666667,2972,1024,576,30
137,Travel_137.mp4,train,https://www.tiktok.com/@peemwong/video/7306508555236936966,Travel,"Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,0,1,111.9333333,3358,1024,576,30
138,Travel_138.mp4,train,https://www.tiktok.com/@sun.wind_rain/video/7309740088366304514,Travel,"Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,0,1,205.3,6159,1024,576,30
139,Travel_139.mp4,train,https://www.tiktok.com/@tina_janeti/video/7111837727494065434?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,0,1,51.6,1548,1024,576,30
141,Travel_141.mp4,train,https://www.tiktok.com/@bbrightxz/video/7219617254139235611?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Culture,0,0,0,0,0,0,0,0,0,0,1,0,19.2,576,1024,576,30
142,Travel_142.mp4,train,https://www.tiktok.com/@fairyqodmother/video/7269366546705763589?q=%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702564801551,Travel,Culture,0,0,0,0,0,0,0,0,0,0,1,0,68.5,2055,1024,576,30
143,Travel_143.mp4,train,https://www.tiktok.com/@ohm_plengg/video/7309801303918595333,Travel,Culture,0,0,0,0,0,0,0,0,0,0,1,0,155.7,4671,1024,576,30
144,Travel_144.mp4,train,https://www.tiktok.com/@sneakoutclub/video/7309435037194128645,Travel,Culture,0,0,0,0,0,0,0,0,0,0,1,0,60.26666667,1808,1024,576,30
145,Travel_145.mp4,train,https://www.tiktok.com/@sristories.official/video/7309789548572167430,Travel,Culture,0,0,0,0,0,0,0,0,0,0,1,0,66.1,1983,1024,576,30
18,Travel_18.mp4,train,https://www.tiktok.com/@zaiicha/video/7243779295343037701?q=%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702564801551,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,35.56666667,1067,1024,576,30
146,Travel_146.mp4,test,https://www.tiktok.com/@aoncheerapa/video/7199200800466275611?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,58.1,1743,1024,576,30
146,Travel_146.mp4,validation,https://www.tiktok.com/@aoncheerapa/video/7199200800466275611?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,58.1,1743,1024,576,30
147,Travel_147.mp4,train,https://www.tiktok.com/@bamblinks/video/7315792452680518917,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,14.16666667,425,1024,576,30
148,Travel_148.mp4,test,https://www.tiktok.com/@bas_gowentgo/video/7156936120146709786?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,61.16666667,1835,1024,576,30
148,Travel_148.mp4,validation,https://www.tiktok.com/@bas_gowentgo/video/7156936120146709786?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,61.16666667,1835,1024,576,30
149,Travel_149.mp4,train,https://www.tiktok.com/@bellephat/video/7106523404253121818?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,40.53333333,1216,1024,576,30
150,Travel_150.mp4,train,https://www.tiktok.com/@bemolibeam/video/7119856194549763355?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,37.43333333,1123,1024,576,30
151,Travel_151.mp4,train,https://www.tiktok.com/@crmmel/video/7314146767837138182,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,89.43333333,2683,1024,576,30
152,Travel_152.mp4,train,https://www.tiktok.com/@dealer_gifzy/video/7306772515680996613,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,36.43333333,1093,1024,576,30
153,Travel_153.mp4,train,https://www.tiktok.com/@fahhkw/video/7297591052620500229?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,48.03333333,1441,1024,576,30
154,Travel_154.mp4,train,https://www.tiktok.com/@fanpageboredofwork/video/7233732639113415942?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,65.63333333,1969,1024,576,30
155,Travel_155.mp4,train,https://www.tiktok.com/@goodsundaycoffeebar/video/7307114939662077189,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,40.5,1215,1024,576,30
156,Travel_156.mp4,train,https://www.tiktok.com/@here.travel/video/7203388628918127898?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,125.0333333,3751,1024,576,30
157,Travel_157.mp4,train,https://www.tiktok.com/@jammy_style/video/7241927606482898182?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,488.2666667,14648,1024,576,30
158,Travel_158.mp4,train,https://www.tiktok.com/@khonkaenjudtem/video/7207754249726446875?q=%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702564801551,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,73.33333333,2200,1024,576,30
160,Travel_160.mp4,train,https://www.tiktok.com/@lookktarnn/video/7174736955182271771?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,65.9,1977,1024,576,30
161,Travel_161.mp4,train,https://www.tiktok.com/@mamorayko/video/7305734408445676806,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,79.56666667,2387,1024,576,30
162,Travel_162.mp4,train,https://www.tiktok.com/@mankitipat/video/7272332847782907141?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,87.26666667,2618,1024,576,30
163,Travel_163.mp4,train,https://www.tiktok.com/@nakhonphanomteerak/video/7309364829934996742?q=Vlogs%20%E0%B9%84%E0%B8%9B%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547477389,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,17.16666667,515,1024,576,30
164,Travel_164.mp4,train,https://www.tiktok.com/@nakhonphanomteerak/video/7309449842596580614?q=Vlogs%20%E0%B9%84%E0%B8%9B%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547477389,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,15.53333333,466,1024,576,30
165,Travel_165.mp4,train,https://www.tiktok.com/@opalmahom/video/7294896827843792133?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,23.8,714,1024,576,30
166,Travel_166.mp4,train,https://www.tiktok.com/@paidonnnn/video/7213957604450520325?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,120.2666667,3608,1024,576,30
167,Travel_167.mp4,train,https://www.tiktok.com/@paikuppy/video/7313513238421982469,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,46.33333333,1390,1024,576,30
168,Travel_168.mp4,train,https://www.tiktok.com/@sneakoutclub/video/7312408034658028805,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,82.3,2469,1024,576,30
214,Travel_214.mp4,train,https://www.tiktok.com/@oilly_wang/video/7300059409126821126?q=%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702564801551,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,10.73333333,322,1024,576,30
169,Travel_169.mp4,train,https://www.tiktok.com/@alittleroom.neighborhood/video/7303854294921383174?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,184.8,5544,1024,576,30
170,Travel_170.mp4,train,https://www.tiktok.com/@khaminnsroaming/video/7196100866028440858?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,210.3666667,6311,1024,576,30
171,Travel_171.mp4,train,https://www.tiktok.com/@khaminnsroaming/video/7314266427547405574,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,86.6,2598,1024,576,30
172,Travel_172.mp4,train,https://www.tiktok.com/@mookmukee/video/7290534668175183109?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,17.83333333,535,1024,576,30
173,Travel_173.mp4,train,https://www.tiktok.com/@peemwong/video/7156087941788470555?q=Vlogs%20%E0%B9%84%E0%B8%9B%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547477389,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,201.4,6042,1024,576,30
174,Travel_174.mp4,train,https://www.tiktok.com/@peemwong/video/7191899947648781595?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,281.5666667,8447,1024,576,30
175,Travel_175.mp4,train,https://www.tiktok.com/@p.klin/video/7287938877128510726?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,131.2333333,3937,1024,576,30
176,Travel_176.mp4,train,https://www.tiktok.com/@pommapartiew/video/7184032849824156955?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,74,2220,1024,576,30
177,Travel_177.mp4,train,https://www.tiktok.com/@pommapartiew/video/7204434752156241179?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,90.23333333,2707,1024,576,30
178,Travel_178.mp4,train,https://www.tiktok.com/@pommapartiew/video/7214082967847603483?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,90.83333333,2725,1024,576,30
179,Travel_179.mp4,train,https://www.tiktok.com/@previewii/video/7287951660578622726?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,137.4,4122,1024,576,30
180,Travel_180.mp4,train,https://www.tiktok.com/@aurora99686/video/7303043719199067397?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,136.1333333,4084,1024,576,30
181,Travel_181.mp4,test,https://www.tiktok.com/@continue.cafe/video/7307201291992829189?q=%23cafe&t=1702547558383,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,12.23333333,367,1024,576,30
181,Travel_181.mp4,validation,https://www.tiktok.com/@continue.cafe/video/7307201291992829189?q=%23cafe&t=1702547558383,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,12.23333333,367,1024,576,30
182,Travel_182.mp4,train,https://www.tiktok.com/@downittayaa/video/7192957014211857691?q=Vlogs%20%E0%B9%84%E0%B8%9B%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547477389,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,19.66666667,590,1024,576,30
183,Travel_183.mp4,train,https://www.tiktok.com/@gor.yak.teaw/video/7254520901792713990?q=%23cafe&t=1702547558383,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,35.06666667,1052,1024,576,30
184,Travel_184.mp4,train,https://www.tiktok.com/@herfoodiediary/video/7316139022047268101,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,26.53333333,796,1024,576,30
185,Travel_185.mp4,train,https://www.tiktok.com/@itthii/video/7316484103514148101,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,75.8,2274,1024,576,30
186,Travel_186.mp4,train,https://www.tiktok.com/@_khimb_/video/7305775625577483525,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,168.7333333,5062,1024,576,30
187,Travel_187.mp4,train,https://www.tiktok.com/@mizjy_/video/7314175436097965317,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,31.13333333,934,1022,576,30
188,Travel_188.mp4,train,https://www.tiktok.com/@mmmmm_ai/video/7226671444447481094?q=%23cafe&t=1702547558383,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,61.16666667,1835,1024,576,30
189,Travel_189.mp4,train,https://www.tiktok.com/@nhunat/video/7314195088991620357,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,14.16666667,425,1024,576,30
190,Travel_190.mp4,train,https://www.tiktok.com/@onthewayjourney/video/7248854328738450694?q=%23cafe&t=1702547558383,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,23.36666667,701,1024,576,30
191,Travel_191.mp4,train,https://www.tiktok.com/@peemwong/video/7306896398438436102,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,69.93333333,2098,1024,576,30
192,Travel_192.mp4,train,https://www.tiktok.com/@pnd_9798/video/7252247101592177926?q=%E0%B8%A3%E0%B8%B5%E0%B8%A7%E0%B8%B4%E0%B8%A7%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702564801551,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,42.23333333,1267,1024,576,30
193,Travel_193.mp4,train,https://www.tiktok.com/@review.as.you.like/video/7234484036306078981?q=%23cafe&t=1702547558383,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,29.66666667,890,1024,576,30
194,Travel_194.mp4,train,https://www.tiktok.com/@reviewpairueipuei/video/7170240096648613147?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,27.36666667,821,1024,576,30
195,Travel_195.mp4,train,https://www.tiktok.com/@reviewpairueipuei/video/7219719292932214043?q=Vlogs%20%E0%B9%84%E0%B8%9B%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547477389,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,27.46666667,824,1024,576,30
